epoch,lr_g,lr_d,train_loss_g,train_loss_g_recon,train_loss_g_valid,train_loss_g_ctc,train_acc_g_valid,train_cer_gt,train_cer_recon,train_loss_d,train_loss_d_cl,train_acc_d_real,train_acc_d_fake,val_loss_g,val_loss_g_recon,val_loss_g_valid,val_loss_g_ctc,val_acc_g_valid,val_cer_gt,val_cer_recon,val_loss_d,val_loss_d_cl,val_acc_d_real,val_acc_d_fake,best_val_loss_so_far,is_best,epoch_time_sec
0,0.0001,0.0001,0.3737019586842507,0.3177825310267508,1.0074198835063726,4.584523001685739,0.3204520089784637,0.07068056869320571,0.25,4.3453277591615915,3.7560102585703135,0.7498604916036129,0.6795479916036129,0.28623817954212427,0.22534293867647648,1.351809412240982,4.73771470785141,0.24570312537252903,0.2941146339289844,1.0,2.183654263615608,1.663421843200922,0.689062500372529,0.754296874627471,0.28623817954212427,1,2565.7467041015625
1,9.99e-05,9.99e-05,0.29590367432683706,0.23514752986375242,1.65519097057404,4.42042369954288,0.19391741073923185,0.07215960090979934,0.25,0.9623502866597846,0.4894476838526316,0.771484375,0.8060825895518064,0.3160026064142585,0.23774101631715894,3.4282889664173126,4.397870093584061,0.0,0.2941146339289844,1.0,0.8946386687457561,0.3643235450144857,0.5281250001862645,1.0,0.28623817954212427,0,2815.9214930534363
2,9.980010000000001e-05,9.980010000000001e-05,0.30265678092837334,0.23568920395337045,2.2497128716204315,4.447044942528009,0.10986328125,0.0703492290340364,0.25,0.4180860614287667,0.09545496119426389,0.8495396208018064,0.89013671875,0.319202683866024,0.24035844206809998,3.4857067093253136,4.398717954754829,0.013671875,0.2941146339289844,1.0,0.20989713713061064,0.020019325806060806,0.841406250372529,0.986328125,0.28623817954212427,0,2842.584674358368
3,9.970029990000001e-05,9.970029990000001e-05,0.31256109941750765,0.2414108671946451,2.4562270261812955,4.658796206116676,0.12255859375,0.07158924406394362,0.25,0.41445382800884545,0.07243115858727833,0.830078125,0.87744140625,0.2994401818141341,0.23149263625964522,2.2030904665589333,4.59166407585144,0.009765625,0.2941146339289844,1.0,0.3874009158462286,0.09171105560380965,0.775000000372529,0.990234375,0.28623817954212427,0,2842.524359226227
4,9.960059960010001e-05,9.960059960010001e-05,0.3146475793328136,0.2401694889413193,2.807162944925949,4.640646334737539,0.07442801352590322,0.07219073793385178,0.25,0.2871067426749505,0.04880919992501731,0.8973911833018064,0.9255719869397581,0.31508597265928984,0.23424557596445084,3.5337338373064995,4.550306081771851,0.03359375009313226,0.2941146339289844,1.0,0.2910949975484982,0.06370004350901581,0.864843750372529,0.966406250372529,0.28623817954212427,0,2841.3060653209686
5,9.950099900049991e-05,9.950099900049991e-05,0.30759692331776023,0.23581545462366194,2.662380939349532,4.515766158699989,0.10163225448923185,0.07048947643488646,0.25,0.3053138486575335,0.020158033152256394,0.8622349333018064,0.8983677458018064,0.31314059998840094,0.24505838146433234,2.463998146355152,4.344224140048027,0.08984375,0.2941146339289844,1.0,0.20736645068973303,0.0002891338690460543,0.946875000372529,0.91015625,0.28623817954212427,0,2853.669409751892
6,9.94014980014994e-05,9.94014980014994e-05,0.3140846574679017,0.23973134334664792,3.3309655990451574,4.104365773499012,0.07624162948923185,0.07013596990145743,0.25,0.2351481640653219,0.029009320441701902,0.9169921875,0.9237583708018064,0.3190432582050562,0.23821246763691306,4.1461644768714905,3.9369144663214684,0.03515625,0.2941146339289844,1.0,0.20780305087100714,0.00238717277716205,0.87890625,0.96484375,0.28623817954212427,0,2837.940232038498
7,9.930209650349791e-05,9.930209650349791e-05,0.3171123133506626,0.24182707292493433,3.5259579615667462,4.002566209062934,0.07735770102590322,0.0720314480131492,0.25,0.22541451011784375,0.010585505144831586,0.9128766744397581,0.9226422994397581,0.30587879940867424,0.24404344335198402,2.1587806195020676,4.024754837155342,0.1640625,0.2941146339289844,1.0,0.21373776416294277,0.0006237868712162253,0.9765625,0.8359375,0.28623817954212427,0,2839.3714122772217
8,9.920279440699441e-05,9.920279440699441e-05,0.3350490687880665,0.2482161879306659,4.651846870779991,4.031441580504179,0.03564453125,0.07177207060158253,0.25,0.11550340744724963,0.005910263068457766,0.95654296875,0.96435546875,0.31781433522701263,0.23388410825282335,4.382271774113178,4.010750949382782,0.0703125,0.2941146339289844,1.0,0.13344585997401737,0.019922172668088933,0.9765625,0.9296875,0.28623817954212427,0,2839.0938789844513
9,9.910359161258741e-05,9.910359161258741e-05,0.31272752466611564,0.2311982837272808,4.1225048284977674,4.030419392511249,0.06752232147846371,0.07353963062632829,0.25,0.18586632319784258,0.01853817590929907,0.9393136166036129,0.9324776791036129,0.32212663255631924,0.24235593108460307,4.056600965559483,3.9204694032669067,0.03945312509313226,0.2941146339289844,1.0,0.06685734572238289,0.0007483519768811675,1.0,0.960546875372529,0.28623817954212427,0,2857.8276813030243
