class_label,word,generated_wav,reference_wav,generated_mel,reference_mel,mcd
1,Hello!,label001_trial0017_pred_Hello.wav,audio1.wav,label001_trial0017_pred_mel.csv,audio1_logmel.csv,474.6037307324359
2,Yes!,label002_trial0015_pred_Yes.wav,audio2.wav,label002_trial0015_pred_mel.csv,audio2_logmel.csv,365.1400968229069
8,Up,label008_trial0003_pred_Up.wav,audio8.wav,label008_trial0032_pred_mel.csv,audio8_logmel.csv,380.9245899390962
8,Up,label008_trial0032_pred_Up.wav,audio8.wav,label008_trial0032_pred_mel.csv,audio8_logmel.csv,380.9245899390962
9,Down,label009_trial0000_pred_Down.wav,audio9.wav,label009_trial0000_pred_mel.csv,audio9_logmel.csv,370.9725161174183
10,Left,label010_trial0026_pred_Left.wav,audio10.wav,label010_trial0026_pred_mel.csv,audio10_logmel.csv,281.42956373693164
11,Right,label011_trial0025_pred_Right.wav,audio11.wav,label011_trial0025_pred_mel.csv,audio11_logmel.csv,370.78583893914663
14,Head,label014_trial0006_pred_Head.wav,audio14.wav,label014_trial0006_pred_mel.csv,audio14_logmel.csv,352.8994548962899
15,Arm,label015_trial0029_pred_Arm.wav,audio15.wav,label015_trial0029_pred_mel.csv,audio15_logmel.csv,421.5890688052437
16,Arms,label016_trial0023_pred_Arms.wav,audio16.wav,label016_trial0023_pred_mel.csv,audio16_logmel.csv,395.05118825727294
17,Leg,label017_trial0013_pred_Leg.wav,audio17.wav,label017_trial0013_pred_mel.csv,audio17_logmel.csv,447.98056316691617
20,Hands,label020_trial0019_pred_Hands.wav,audio20.wav,label020_trial0031_pred_mel.csv,audio20_logmel.csv,400.51876864338004
20,Hands,label020_trial0031_pred_Hands.wav,audio20.wav,label020_trial0031_pred_mel.csv,audio20_logmel.csv,400.51876864338004
22,Feet,label022_trial0021_pred_Feet.wav,audio22.wav,label022_trial0021_pred_mel.csv,audio22_logmel.csv,372.1559977385594
26,Three,label026_trial0001_pred_Three.wav,audio26.wav,label026_trial0010_pred_mel.csv,audio26_logmel.csv,397.32302367228885
26,Three,label026_trial0010_pred_Three.wav,audio26.wav,label026_trial0010_pred_mel.csv,audio26_logmel.csv,397.32302367228885
28,Five,label028_trial0002_pred_Five.wav,audio28.wav,label028_trial0002_pred_mel.csv,audio28_logmel.csv,393.2136406973524
29,Six,label029_trial0005_pred_Six.wav,audio29.wav,label029_trial0005_pred_mel.csv,audio29_logmel.csv,383.2359211291388
30,Seven,label030_trial0016_pred_Seven.wav,audio30.wav,label030_trial0016_pred_mel.csv,audio30_logmel.csv,404.1029770930047
36,Before,label036_trial0008_pred_Before.wav,audio36.wav,label036_trial0028_pred_mel.csv,audio36_logmel.csv,441.6558383142292
36,Before,label036_trial0028_pred_Before.wav,audio36.wav,label036_trial0028_pred_mel.csv,audio36_logmel.csv,441.6558383142292
37,Now.,label037_trial0014_pred_Now.wav,audio37.wav,label037_trial0014_pred_mel.csv,audio37_logmel.csv,426.88865961132996
41,Tomorrow,label041_trial0024_pred_Tomorrow.wav,audio41.wav,label041_trial0024_pred_mel.csv,audio41_logmel.csv,421.17320347608353
44,Bath,label044_trial0022_pred_Bath.wav,audio44.wav,label044_trial0022_pred_mel.csv,audio44_logmel.csv,385.97368740692656
46,Daughter,label046_trial0030_pred_Daughter.wav,audio46.wav,label046_trial0030_pred_mel.csv,audio46_logmel.csv,399.5212683856822
50,Nurse,label050_trial0011_pred_Nurse.wav,audio50.wav,label050_trial0011_pred_mel.csv,audio50_logmel.csv,522.6887434040218
58,Why?,label058_trial0004_pred_Why.wav,audio58.wav,label058_trial0004_pred_mel.csv,audio58_logmel.csv,471.1238945070846
60,How?,label060_trial0012_pred_How.wav,audio60.wav,label060_trial0012_pred_mel.csv,audio60_logmel.csv,474.05652207088866
65,I can t,label065_trial0027_pred_I_can_t.wav,audio65.wav,label065_trial0027_pred_mel.csv,audio65_logmel.csv,386.88712660653505
68,Help!,label068_trial0007_pred_Help.wav,audio68.wav,label068_trial0007_pred_mel.csv,audio68_logmel.csv,521.5689122726677
70,Hot,label070_trial0018_pred_Hot.wav,audio70.wav,label070_trial0018_pred_mel.csv,audio70_logmel.csv,373.8926852823885
73,Ribbon,label073_trial0020_pred_Ribbon.wav,audio73.wav,label073_trial0020_pred_mel.csv,audio73_logmel.csv,399.9795784193802
74,Palm,label074_trial0009_pred_Palm.wav,audio74.wav,label074_trial0009_pred_mel.csv,audio74_logmel.csv,418.5691661815234
AVG,AVG,,,,,408.373589
